,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21
0,MSC,Osteoblast-like,Proliferating-like,Chondroblast,Chondroprogenitor,Fibroblast-like,Adipocyte,CD4+T,Pericyte,Neutrophil,Alveolar epithelial,Fibroblast,Endothelial,Chondroblast-like,MDM,CD8+T/NK,Treg,Myoblast,Osteoclast,DC,B cell
1,MDM,MSC,Osteoblast-like,Proliferating-like,CD8+T/NK,Chondroprogenitor,Neutrophil,Fibroblast-like,Pericyte,Osteoclast,Adipocyte,Chondroblast,CD4+T,Myoblast,Chondroblast-like,DC,Endothelial,B cell,Alveolar epithelial,Treg,Fibroblast
2,MSC,Osteoblast-like,Proliferating-like,MDM,Fibroblast-like,Chondroprogenitor,Chondroblast,Neutrophil,Adipocyte,Pericyte,CD4+T,Alveolar epithelial,CD8+T/NK,Chondroblast-like,Osteoclast,Myoblast,Endothelial,Fibroblast,Treg,DC,B cell
3,MSC,Osteoblast-like,Proliferating-like,Chondroprogenitor,Chondroblast,Fibroblast-like,Pericyte,Adipocyte,CD4+T,Neutrophil,Alveolar epithelial,Fibroblast,MDM,Endothelial,Chondroblast-like,CD8+T/NK,Treg,Myoblast,Osteoclast,DC,B cell
4,MSC,Osteoblast-like,MDM,Chondroprogenitor,Proliferating-like,Adipocyte,Chondroblast,Neutrophil,CD4+T,Fibroblast-like,CD8+T/NK,Endothelial,Pericyte,Osteoclast,Alveolar epithelial,Chondroblast-like,Myoblast,Fibroblast,DC,Treg,B cell
5,MSC,Osteoblast-like,Chondroprogenitor,Adipocyte,MDM,Chondroblast,CD4+T,Proliferating-like,Neutrophil,CD8+T/NK,Osteoclast,Endothelial,Chondroblast-like,Alveolar epithelial,Pericyte,Fibroblast-like,Myoblast,DC,Fibroblast,B cell,Treg
6,MSC,Osteoblast-like,Adipocyte,Chondroprogenitor,Chondroblast,Proliferating-like,CD4+T,Alveolar epithelial,Endothelial,Neutrophil,Fibroblast-like,Fibroblast,Chondroblast-like,MDM,Pericyte,CD8+T/NK,Osteoclast,Myoblast,Treg,DC,B cell
7,MSC,Osteoblast-like,Proliferating-like,Fibroblast-like,Chondroprogenitor,MDM,Pericyte,Chondroblast,Neutrophil,Adipocyte,CD4+T,Alveolar epithelial,CD8+T/NK,Fibroblast,Myoblast,Chondroblast-like,Endothelial,Osteoclast,Treg,DC,B cell
8,MSC,Osteoblast-like,Proliferating-like,Chondroprogenitor,Chondroblast,Fibroblast-like,Adipocyte,Neutrophil,CD4+T,Pericyte,MDM,Alveolar epithelial,Fibroblast,Endothelial,Chondroblast-like,CD8+T/NK,Treg,Osteoclast,Myoblast,DC,B cell
9,MSC,Osteoblast-like,Proliferating-like,Chondroprogenitor,Chondroblast,Adipocyte,Fibroblast-like,CD4+T,Neutrophil,MDM,Pericyte,Alveolar epithelial,Fibroblast,Endothelial,CD8+T/NK,Chondroblast-like,Treg,Osteoclast,Myoblast,DC,B cell
10,MSC,Osteoblast-like,Chondroprogenitor,Proliferating-like,Adipocyte,MDM,Chondroblast,CD4+T,Neutrophil,Fibroblast-like,Pericyte,CD8+T/NK,Alveolar epithelial,Endothelial,Fibroblast,Chondroblast-like,Osteoclast,Treg,Myoblast,DC,B cell
11,MSC,Osteoblast-like,Chondroprogenitor,Adipocyte,Proliferating-like,Chondroblast,MDM,CD4+T,Neutrophil,Fibroblast-like,Alveolar epithelial,Pericyte,Endothelial,CD8+T/NK,Chondroblast-like,Fibroblast,Osteoclast,Myoblast,Treg,DC,B cell
12,MSC,Proliferating-like,Osteoblast-like,Fibroblast-like,Pericyte,MDM,Chondroblast,Chondroprogenitor,CD8+T/NK,Neutrophil,CD4+T,Alveolar epithelial,Treg,Adipocyte,Myoblast,Fibroblast,Osteoclast,Endothelial,Chondroblast-like,DC,B cell
13,MSC,Osteoblast-like,Proliferating-like,Fibroblast-like,Chondroprogenitor,Chondroblast,Pericyte,MDM,Adipocyte,Neutrophil,CD4+T,Alveolar epithelial,CD8+T/NK,Fibroblast,Endothelial,Chondroblast-like,Treg,Myoblast,Osteoclast,DC,B cell
14,MSC,Osteoblast-like,Chondroprogenitor,Chondroblast,Proliferating-like,Adipocyte,MDM,CD4+T,Neutrophil,Fibroblast-like,Pericyte,Alveolar epithelial,Endothelial,Fibroblast,CD8+T/NK,Chondroblast-like,Treg,Osteoclast,Myoblast,DC,B cell
15,MSC,Osteoblast-like,Proliferating-like,Chondroprogenitor,Chondroblast,MDM,Adipocyte,Fibroblast-like,Neutrophil,CD4+T,Pericyte,Alveolar epithelial,CD8+T/NK,Endothelial,Myoblast,Chondroblast-like,Fibroblast,Osteoclast,Treg,DC,B cell
16,MSC,Osteoblast-like,Proliferating-like,Chondroprogenitor,Fibroblast-like,Adipocyte,Chondroblast,Neutrophil,CD4+T,MDM,Pericyte,Alveolar epithelial,Fibroblast,Endothelial,Chondroblast-like,CD8+T/NK,Osteoclast,Treg,Myoblast,DC,B cell
17,MSC,Osteoblast-like,Proliferating-like,MDM,Chondroprogenitor,Chondroblast,Neutrophil,Adipocyte,CD4+T,Fibroblast-like,Pericyte,Alveolar epithelial,Endothelial,CD8+T/NK,Fibroblast,Chondroblast-like,Treg,Osteoclast,Myoblast,DC,B cell
